,start,end,count
0,east,east,40
1,east,north,124
2,east,south,35
3,east,west,262
4,north,east,46
5,north,north,16
6,north,south,12
7,north,west,47
8,south,east,86
9,south,north,87
10,south,south,20
11,south,west,49
12,west,east,281
13,west,north,45
14,west,south,16
15,west,west,30
