,dist,direction
05:00:00,75.30667862638506,south
05:30:00,93.18599514203913,south
06:00:00,141.78328470053503,south
06:30:00,365.99356978510156,south
07:00:00,281.01810516100784,south
07:30:00,373.73968758153325,south
08:00:00,441.5715690805177,south
08:30:00,436.02348712807094,south
09:00:00,469.74908339968607,south
09:30:00,385.1150688561763,south
10:00:00,369.35890469823,south
10:30:00,381.37346787655315,south
11:00:00,431.256117825717,south
11:30:00,473.08362995083013,south
12:00:00,551.6878259125756,south
12:30:00,487.05634102698997,south
13:00:00,421.1729895466429,south
13:30:00,432.22735815834704,south
14:00:00,481.5555960647233,south
14:30:00,479.4875751276541,south
15:00:00,465.91643975263986,south
15:30:00,423.73389288371595,south
16:00:00,416.44777563698915,south
16:30:00,511.1050511190614,south
17:00:00,501.85278889621765,south
17:30:00,605.5297980561265,south
18:00:00,547.2167439084986,south
18:30:00,551.5355199274888,south
19:00:00,348.3821942393412,south
19:30:00,387.64990284384055,south
20:00:00,391.18512663557635,south
20:30:00,289.7061331932842,south
21:00:00,227.1192574493903,south
05:00:00,9.425112473982338,west
05:30:00,12.533886710424085,west
06:00:00,40.1103045035417,west
06:30:00,64.64277512003352,west
07:00:00,270.59053013545804,west
07:30:00,401.7289776010145,west
08:00:00,465.1099414119538,west
08:30:00,477.06820134349454,west
09:00:00,321.1202978212305,west
09:30:00,207.96837621510812,west
10:00:00,249.84277281380372,west
10:30:00,93.58978726881489,west
11:00:00,67.22534422292394,west
11:30:00,111.24449095040312,west
12:00:00,145.1489577259425,west
12:30:00,343.2944601977476,west
13:00:00,229.6051919018864,west
13:30:00,208.43118340757314,west
14:00:00,355.4661239492424,west
14:30:00,452.27183084222713,west
15:00:00,477.99164582852575,west
15:30:00,458.1601384141173,west
16:00:00,432.16240232698635,west
16:30:00,516.9105535663134,west
17:00:00,548.7198659262074,west
17:30:00,554.1474520427469,west
18:00:00,527.1726082678235,west
18:30:00,481.20091905636707,west
19:00:00,489.2133137631821,west
19:30:00,544.2566368328423,west
20:00:00,508.79143605625796,west
20:30:00,447.733545157544,west
21:00:00,403.515142844706,west
05:00:00,185.5512850558192,north
05:30:00,65.03631891839981,north
06:00:00,199.94747773546413,north
06:30:00,167.2734896154457,north
07:00:00,205.63656124989726,north
07:30:00,245.13050986513477,north
08:00:00,241.967510976506,north
08:30:00,311.7720450703444,north
09:00:00,239.2106087872527,north
09:30:00,205.6947570681573,north
10:00:00,160.88536570303026,north
10:30:00,168.19404384857094,north
11:00:00,168.86914112176646,north
11:30:00,173.96699500451274,north
12:00:00,206.16106185150787,north
12:30:00,215.86895778552642,north
13:00:00,210.3960934703388,north
13:30:00,181.65845811020313,north
14:00:00,220.19038371890508,north
14:30:00,195.21057146762342,north
15:00:00,221.32972505604258,north
15:30:00,198.5700820432138,north
16:00:00,279.91761417815485,north
16:30:00,303.5290213428424,north
17:00:00,247.23479206139191,north
17:30:00,331.73235507928484,north
18:00:00,284.39717948466114,north
18:30:00,349.5028045418106,north
19:00:00,321.7947675732464,north
19:30:00,282.6821983009743,north
20:00:00,241.05060671708384,north
20:30:00,218.35252577368271,north
21:00:00,192.0005395964474,north
05:00:00,27.106628957191166,east
05:30:00,32.55270798698311,east
06:00:00,529.2903874715957,east
06:30:00,644.376513295821,east
07:00:00,687.2766823496977,east
07:30:00,662.9271429006853,east
08:00:00,671.5119648764223,east
08:30:00,586.8900207802426,east
09:00:00,619.2263373049957,east
09:30:00,602.9184070187397,east
10:00:00,612.9085166726605,east
10:30:00,565.449276783118,east
11:00:00,628.6636913836103,east
11:30:00,602.3278375108291,east
12:00:00,544.6199713443877,east
12:30:00,582.9937052400305,east
13:00:00,628.909688767224,east
13:30:00,552.9637574449963,east
14:00:00,585.1705445749918,east
14:30:00,537.8300527946875,east
15:00:00,555.4298852774368,east
15:30:00,524.8900319324766,east
16:00:00,580.174272385522,east
16:30:00,542.1377319859755,east
17:00:00,454.85144181357566,east
17:30:00,502.79887560508917,east
18:00:00,445.5109822475532,east
18:30:00,380.576783104759,east
19:00:00,468.4939750216928,east
19:30:00,409.95659497385645,east
20:00:00,333.84756069316995,east
20:30:00,374.9350937731715,east
21:00:00,454.8112121586737,east
