,dist,direction
05:00:00,83.45515544444476,south
05:30:00,124.82096010723929,south
06:00:00,33.25063287641312,south
06:30:00,98.47416324271313,south
07:00:00,55.72783812921156,south
07:30:00,145.31006100395095,south
08:00:00,128.83671350844438,south
08:30:00,159.33595024146027,south
09:00:00,122.56477710864118,south
09:30:00,96.63536680500496,south
10:00:00,59.17386499387659,south
10:30:00,66.54844476802364,south
11:00:00,126.73348982632876,south
11:30:00,105.92756528639532,south
12:00:00,130.45198127493867,south
12:30:00,110.46418716390306,south
13:00:00,86.30683800003443,south
13:30:00,108.09433247599009,south
14:00:00,83.0217618140598,south
14:30:00,108.68860290577747,south
15:00:00,137.4962677266393,south
15:30:00,102.70007335937093,south
16:00:00,161.15818105796566,south
16:30:00,109.09268362285667,south
17:00:00,127.10312803806549,south
17:30:00,82.58901689332781,south
18:00:00,145.45882664664964,south
18:30:00,125.58673561981274,south
19:00:00,154.4909780707216,south
19:30:00,51.448800624294535,south
20:00:00,63.132258666698064,south
20:30:00,53.386256495061915,south
21:00:00,33.31575305674266,south
05:00:00,34.28058931228815,west
05:30:00,73.95304281276702,west
06:00:00,79.33547429413323,west
06:30:00,141.27077316708042,west
07:00:00,190.48916192282562,west
07:30:00,94.9469472241272,west
08:00:00,171.44912891088313,west
08:30:00,161.93303476503036,west
09:00:00,150.30528393977167,west
09:30:00,162.8100291163479,west
10:00:00,184.72104904181657,west
10:30:00,236.03047929249254,west
11:00:00,244.8720195176195,west
11:30:00,245.9192018424999,west
12:00:00,266.80907568644733,west
12:30:00,316.9491145303932,west
13:00:00,329.09915223764114,west
13:30:00,323.53791940603963,west
14:00:00,333.9615838204903,west
14:30:00,301.43001264284294,west
15:00:00,309.61910498119073,west
15:30:00,381.21243967441745,west
16:00:00,254.65704113787368,west
16:30:00,270.6321243256196,west
17:00:00,302.68292036029897,west
17:30:00,331.4097058739516,west
18:00:00,355.66094473512203,west
18:30:00,343.7436799275472,west
19:00:00,318.0098771069396,west
19:30:00,201.21430584852803,west
20:00:00,156.55720105933477,west
20:30:00,162.63920382263075,west
21:00:00,153.69539034688432,west
05:00:00,69.00599451033574,north
05:30:00,24.58517426755877,north
06:00:00,72.26738618837679,north
06:30:00,71.21586150508323,north
07:00:00,173.3164447038132,north
07:30:00,128.99596580168978,north
08:00:00,87.08941980100936,north
08:30:00,104.69231574722386,north
09:00:00,111.74256436441912,north
09:30:00,116.80924872207704,north
10:00:00,137.0143449649512,north
10:30:00,150.7942562274784,north
11:00:00,147.0756165688788,north
11:30:00,175.11898340715373,north
12:00:00,215.35488813057088,north
12:30:00,233.60571405843532,north
13:00:00,288.8091045040853,north
13:30:00,245.1731544264781,north
14:00:00,251.34203720121104,north
14:30:00,276.20955438533747,north
15:00:00,319.701952478782,north
15:30:00,306.25264869066456,north
16:00:00,356.02663771660013,north
16:30:00,396.2721674378707,north
17:00:00,332.38562591489017,north
17:30:00,461.7191741041015,north
18:00:00,411.14326189509484,north
18:30:00,396.5128952409082,north
19:00:00,342.65922727920935,north
19:30:00,226.6003408745562,north
20:00:00,188.48451056221256,north
20:30:00,202.41723604279386,north
21:00:00,204.2602964424447,north
05:00:00,160.11934025785382,east
05:30:00,195.94380663954968,east
06:00:00,201.5024429393768,east
06:30:00,226.30169586309268,east
07:00:00,105.45145644086756,east
07:30:00,126.42809698233438,east
08:00:00,128.20121769373458,east
08:30:00,138.48590837208056,east
09:00:00,168.30130672020817,east
09:30:00,212.3018793194205,east
10:00:00,274.21170368645096,east
10:30:00,268.11516776784555,east
11:00:00,280.23244221509253,east
11:30:00,323.4101238612139,east
12:00:00,261.51814833202855,east
12:30:00,279.3144769360367,east
13:00:00,261.2899156608686,east
13:30:00,256.0023944787844,east
14:00:00,284.57766134372,east
14:30:00,247.54676439328182,east
15:00:00,255.78514168669577,east
15:30:00,187.55882319116049,east
16:00:00,201.2660689667535,east
16:30:00,185.40124303278046,east
17:00:00,201.22235582407544,east
17:30:00,182.24719447394574,east
18:00:00,241.22079687403757,east
18:30:00,184.42046267542986,east
19:00:00,222.03373959576578,east
19:30:00,158.7207592775637,east
20:00:00,90.78746115327615,east
20:30:00,93.08853218182226,east
21:00:00,116.76583504698385,east
