,dist,direction
05:00:00,0.0,south
05:30:00,40.588032023789594,south
06:00:00,113.13448355886621,south
06:30:00,132.6353067510559,south
07:00:00,95.92942537594348,south
07:30:00,94.152365941893,south
08:00:00,114.76922958010408,south
08:30:00,105.69791274335691,south
09:00:00,200.04152383809918,south
09:30:00,171.4424737512354,south
10:00:00,141.29716393341698,south
10:30:00,135.7796889825629,south
11:00:00,142.75267053759305,south
11:30:00,118.44045201204167,south
12:00:00,131.74768898232307,south
12:30:00,65.87500930835097,south
13:00:00,144.83203791444635,south
13:30:00,102.53431195709055,south
14:00:00,120.1643180209349,south
14:30:00,135.24859177502327,south
15:00:00,114.96898552066841,south
15:30:00,100.36858544715793,south
16:00:00,60.92561254464074,south
16:30:00,67.42449197947958,south
17:00:00,55.78285355379094,south
17:30:00,62.67463436155079,south
18:00:00,84.08054345072452,south
18:30:00,121.43010377573142,south
19:00:00,94.50283201516538,south
19:30:00,138.44553218151202,south
20:00:00,76.18933622536147,south
20:30:00,92.0497955891571,south
21:00:00,28.040024490485045,south
05:00:00,19.976004064244954,west
05:30:00,109.3626567529406,west
06:00:00,163.7903250256787,west
06:30:00,163.72607643978614,west
07:00:00,204.17508329637909,west
07:30:00,203.00698719984885,west
08:00:00,303.63317754946615,west
08:30:00,212.4521237246775,west
09:00:00,227.46059308880245,west
09:30:00,347.97552633694477,west
10:00:00,323.2762061863581,west
10:30:00,286.0046011318649,west
11:00:00,282.9421812423218,west
11:30:00,282.87083833524946,west
12:00:00,280.86394759912184,west
12:30:00,260.40460612951296,west
13:00:00,311.656204897817,west
13:30:00,247.0372967619494,west
14:00:00,331.28742539191046,west
14:30:00,311.2903228017004,west
15:00:00,361.76081928878136,west
15:30:00,333.6738074919043,west
16:00:00,259.1028528467426,west
16:30:00,329.79042969265504,west
17:00:00,206.35509252173347,west
17:30:00,208.5588525933009,west
18:00:00,238.4894331869875,west
18:30:00,368.78169020403936,west
19:00:00,337.12781006599914,west
19:30:00,347.02531271945804,west
20:00:00,275.282266824642,west
20:30:00,191.1806730077539,west
21:00:00,195.00954589520768,west
05:00:00,1261.814427846758,north
05:30:00,49.1615935857906,north
06:00:00,45.252521843722576,north
06:30:00,105.70894283449712,north
07:00:00,240.12116049706663,north
07:30:00,328.49204942852646,north
08:00:00,259.1795315940678,north
08:30:00,271.7746428023723,north
09:00:00,200.68524822689812,north
09:30:00,232.4552232782269,north
10:00:00,140.1308277650394,north
10:30:00,149.4929909381183,north
11:00:00,219.6341425711973,north
11:30:00,210.90789651372,north
12:00:00,240.78056493043766,north
12:30:00,315.5718786657628,north
13:00:00,272.9154862394111,north
13:30:00,305.2611979081535,north
14:00:00,396.1885870098846,north
14:30:00,403.16325857202867,north
15:00:00,442.56643984915934,north
15:30:00,469.7332262084718,north
16:00:00,553.2084807698434,north
16:30:00,547.8260563683637,north
17:00:00,583.4025307477802,north
17:30:00,535.664248791576,north
18:00:00,409.85962501641774,north
18:30:00,158.6836482859345,north
19:00:00,354.7098140847458,north
19:30:00,534.9632598282536,north
20:00:00,452.32497049347336,north
20:30:00,450.1182178726151,north
21:00:00,404.98570198411255,north
05:00:00,210.28178121582,east
05:30:00,127.14646167780758,east
06:00:00,137.30325585719376,east
06:30:00,177.08705474884414,east
07:00:00,266.14032321008153,east
07:30:00,159.5382219018299,east
08:00:00,172.09947600026027,east
08:30:00,215.9803028026714,east
09:00:00,288.08525584256716,east
09:30:00,205.9926660578651,east
10:00:00,259.9614983059997,east
10:30:00,269.7310886476364,east
11:00:00,278.3928200946448,east
11:30:00,268.0844016024258,east
12:00:00,255.7111294748612,east
12:30:00,276.3405030510619,east
13:00:00,246.7682059137218,east
13:30:00,261.5957556864993,east
14:00:00,224.5906751934473,east
14:30:00,219.89437589045735,east
15:00:00,262.7860487638335,east
15:30:00,233.11914045787208,east
16:00:00,136.2630043112029,east
16:30:00,197.96802803629714,east
17:00:00,95.10693387154465,east
17:30:00,119.9172237495055,east
18:00:00,68.96371993016737,east
18:30:00,59.58015615601539,east
19:00:00,92.91974655895656,east
19:30:00,313.68574866892607,east
20:00:00,115.36598506190388,east
20:30:00,109.77722016965959,east
21:00:00,104.9801698870379,east
