,dist,direction
05:00:00,30.584051241926403,south
05:30:00,36.92542456586217,south
06:00:00,130.1230213633899,south
06:30:00,110.32697847456912,south
07:00:00,152.33857497327335,south
07:30:00,185.02221427245476,south
08:00:00,214.6643646314076,south
08:30:00,165.84775400062705,south
09:00:00,137.9340483569028,south
09:30:00,114.63416780122625,south
10:00:00,127.13726540637865,south
10:30:00,164.46483415597294,south
11:00:00,167.73874373179248,south
11:30:00,156.65117502570112,south
12:00:00,64.6981531397717,south
12:30:00,110.33442247449382,south
13:00:00,109.26306206489834,south
13:30:00,154.70364404063312,south
14:00:00,82.11132991701693,south
14:30:00,79.46200630283931,south
15:00:00,260.3032551917308,south
15:30:00,65.1532864554337,south
16:00:00,138.19534077220365,south
16:30:00,91.12037055273173,south
17:00:00,53.265639641767166,south
17:30:00,104.69615997356341,south
18:00:00,148.63215918184244,south
18:30:00,122.59011733621028,south
19:00:00,50.06452119570419,south
19:30:00,43.40713414188384,south
20:00:00,103.97592905651238,south
20:30:00,57.77364758943269,south
21:00:00,41.8766906119199,south
05:00:00,48.33770865570423,west
05:30:00,121.55490011394231,west
06:00:00,88.37824260801327,west
06:30:00,198.62115154333395,west
07:00:00,170.70924118469839,west
07:30:00,245.9928564319443,west
08:00:00,210.2105132816795,west
08:30:00,203.56966431102978,west
09:00:00,263.43371856009804,west
09:30:00,318.2891680817779,west
10:00:00,209.99269435141156,west
10:30:00,233.94068003986132,west
11:00:00,231.25782336292377,west
11:30:00,320.544803794837,west
12:00:00,363.8006085558867,west
12:30:00,257.897592442642,west
13:00:00,253.78209110944394,west
13:30:00,202.36377658166253,west
14:00:00,241.7310518742559,west
14:30:00,249.83284438841568,west
15:00:00,324.2176755426715,west
15:30:00,340.88093221488424,west
16:00:00,314.5089935626766,west
16:30:00,250.5271924302872,west
17:00:00,223.65250114344312,west
17:30:00,234.9503849124479,west
18:00:00,198.01191078518093,west
18:30:00,199.6131270070489,west
19:00:00,335.92763311680824,west
19:30:00,366.9792620774794,west
20:00:00,361.88927156223303,west
20:30:00,209.02833699119012,west
21:00:00,162.86058363958895,west
05:00:00,51.242300716239384,north
05:30:00,43.13373286943688,north
06:00:00,66.36159941580776,north
06:30:00,104.40314562086328,north
07:00:00,185.0759992461628,north
07:30:00,339.3755590733064,north
08:00:00,385.95698743559,north
08:30:00,335.1945821409062,north
09:00:00,349.5519046806021,north
09:30:00,134.81627901167596,north
10:00:00,72.60664599763587,north
10:30:00,147.917602898496,north
11:00:00,175.97557978951068,north
11:30:00,218.16623082581802,north
12:00:00,313.47392686120537,north
12:30:00,373.91330555611205,north
13:00:00,268.9031185762138,north
13:30:00,230.8772024820846,north
14:00:00,227.14579736845735,north
14:30:00,217.92163463136592,north
15:00:00,368.9511060595242,north
15:30:00,418.6629664447933,north
16:00:00,282.5910445392126,north
16:30:00,344.02040503911894,north
17:00:00,342.4205046856297,north
17:30:00,330.8765090620704,north
18:00:00,207.40734063876667,north
18:30:00,152.7768466700083,north
19:00:00,161.93005656157368,north
19:30:00,216.17228101766776,north
20:00:00,288.7868864138255,north
20:30:00,261.14269078126006,north
21:00:00,258.91924435868117,north
05:00:00,210.55051712483885,east
05:30:00,300.23481457517977,east
06:00:00,192.94108863961247,east
06:30:00,241.68688158422822,east
07:00:00,244.4319831013243,east
07:30:00,265.0009829393774,east
08:00:00,237.2143108150794,east
08:30:00,177.73413963257323,east
09:00:00,262.88699427828084,east
09:30:00,203.40936401250485,east
10:00:00,145.69150114174562,east
10:30:00,142.83957429542824,east
11:00:00,263.69609580276597,east
11:30:00,240.4281275210496,east
12:00:00,248.34626228547026,east
12:30:00,276.4065296054508,east
13:00:00,220.05207682074789,east
13:30:00,189.68687726087563,east
14:00:00,271.17658315088323,east
14:30:00,265.1474174830376,east
15:00:00,261.71335276404136,east
15:30:00,258.0918376742854,east
16:00:00,132.3129459226119,east
16:30:00,194.53110908158249,east
17:00:00,108.55603651793503,east
17:30:00,75.48160429009343,east
18:00:00,61.26973182723192,east
18:30:00,77.28347031766359,east
19:00:00,59.18981432538423,east
19:30:00,127.96360502816036,east
20:00:00,79.16770495372263,east
20:30:00,124.39528919240252,east
21:00:00,147.26373454879493,east
